epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.757,2.15708,3.29108,0,3.7282,2.27963,0.24706,0.2963,0.18799,0.07547,0.41569,0.44444,0.38006,0.08076,1.51783,3.23924,0,3.33206,1.71565,0.00013336,0.00013336,0.00013336
2,42.0689,1.5095,2.63917,0,2.56243,1.61021,0.62436,0.64815,0.5957,0.33498,0.65354,0.62963,0.60164,0.21497,1.31336,2.94161,0,2.4578,1.50022,0.000269362,0.000269362,0.000269362
3,60.9204,1.45103,1.95565,0,2.06313,1.52833,0.75736,0.68519,0.73207,0.44207,0.81211,0.83333,0.8722,0.38855,1.26356,2.50757,0,2.74406,1.42506,0.000390511,0.000390511,0.000390511
4,79.7676,1.34638,1.75623,0,1.90237,1.44975,0.71933,0.72222,0.72333,0.39362,0.79621,0.81481,0.81726,0.41401,1.18294,2.07681,0,3.24452,1.43353,0.000496808,0.000496808,0.000496808
5,98.6412,1.37567,1.44061,0,1.74521,1.43423,0.6871,0.72222,0.68866,0.47159,0.85548,0.88889,0.87078,0.47451,1.08041,1.78954,0,2.02121,1.30063,0.000588251,0.000588251,0.000588251
6,117.487,1.3009,1.066,0,1.59717,1.37211,0.75128,0.77778,0.74494,0.48366,0.78718,0.81481,0.81556,0.53876,1.14928,1.45559,0,2.16924,1.4572,0.000664841,0.000664841,0.000664841
7,136.19,1.27147,0.99627,0,1.58286,1.371,0.78571,0.81481,0.8132,0.53385,0.85714,0.88889,0.88971,0.6417,1.00748,1.13606,0,2.28216,1.39834,0.000726579,0.000726579,0.000726579
8,155,1.24361,0.79365,0,1.49643,1.36621,0.70488,0.68519,0.67172,0.4014,0.78374,0.74074,0.75572,0.65796,1.13966,0.94809,0,3.36286,1.50474,0.000773463,0.000773463,0.000773463
9,173.724,1.25951,0.84781,0,1.5312,1.38357,0.77807,0.75926,0.79733,0.55126,0.85344,0.85185,0.86661,0.71504,1.06446,0.80657,0,1.94396,1.42735,0.000805494,0.000805494,0.000805494
10,192.423,1.18646,0.69006,0,1.39647,1.33445,0.89286,0.92593,0.93241,0.64479,0.89286,0.92593,0.93241,0.84304,1.06109,0.75296,0,1.75124,1.47353,0.000822673,0.000822673,0.000822673
11,211.378,1.12483,0.73393,0,1.4513,1.40278,0.8793,0.87037,0.90747,0.6552,0.91124,0.94444,0.95148,0.85926,1.02558,0.63009,0,1.51137,1.37917,0.000824998,0.000824998,0.000824998
12,229.974,1.03331,0.62023,0,1.31195,1.34774,0.88796,0.85185,0.88947,0.66836,0.92394,0.88853,0.92684,0.85253,0.98715,0.56493,0,1.26155,1.38036,0.000759318,0.000759318,0.000759318
13,248.709,0.94952,0.54146,0,1.20765,1.27152,0.87676,0.90741,0.9116,0.63129,0.91252,0.94444,0.94351,0.88251,1.00776,0.47174,0,1.3337,1.37783,0.000676802,0.000676802,0.000676802
14,267.3,0.8925,0.50092,0,1.12354,1.23857,0.89286,0.92593,0.91294,0.69712,0.91071,0.94444,0.92392,0.87023,0.93859,0.4428,0,1.11313,1.32176,0.000594286,0.000594286,0.000594286
15,285.876,0.93486,0.51492,0,1.13282,1.25263,0.91252,0.94444,0.95815,0.73584,0.92976,0.96296,0.96718,0.91946,0.96832,0.42349,0,1.04832,1.35948,0.000511769,0.000511769,0.000511769
16,304.401,0.85467,0.45012,0,1.05231,1.19932,0.92848,0.96296,0.95413,0.73194,0.92848,0.96296,0.95413,0.92968,0.86107,0.37841,0,0.98407,1.29708,0.000429253,0.000429253,0.000429253
17,323.035,0.7893,0.44139,0,0.91796,1.16056,0.92857,0.96296,0.96842,0.75705,0.92857,0.96296,0.96842,0.94609,0.83896,0.35353,0,0.92878,1.27665,0.000346736,0.000346736,0.000346736
18,341.603,0.84805,0.42508,0,0.92971,1.19858,0.96079,0.98148,0.97645,0.80779,0.96079,0.98148,0.97645,0.95252,0.80491,0.32759,0,0.89604,1.24582,0.00026422,0.00026422,0.00026422
19,360.351,0.78107,0.36893,0,0.91395,1.15442,0.947,0.98148,0.98388,0.79595,0.947,0.98148,0.98388,0.9608,0.85246,0.3031,0,0.90226,1.27952,0.000181703,0.000181703,0.000181703
20,379.04,0.75885,0.32802,0,0.87784,1.15216,0.93077,0.96296,0.97236,0.78755,0.93077,0.96296,0.97236,0.95325,0.8065,0.29051,0,0.84625,1.24082,9.91865e-05,9.91865e-05,9.91865e-05
